Well ID,reagent-1_mM,reagent-2_mM,Water_--
A1,7.0,100.0,0.142
A2,7.0,120.0,0.094
A3,7.0,140.0,0.046
B1,7.0,120.0,0.094
B2,7.0,100.0,0.142
B3,9.0,100.0,0.13
C1,7.0,140.0,0.046
C2,15.0,140.0,0.002
C3,9.0,120.0,0.082
D1,9.0,100.0,0.13
D2,15.0,120.0,0.048
D3,9.0,140.0,0.034
E1,9.0,120.0,0.082
E2,15.0,100.0,0.096
E3,11.0,100.0,0.118
E4,15.0,140.0,0.002
F1,9.0,140.0,0.034
F2,13.0,140.0,0.012
F3,11.0,120.0,0.072
F4,15.0,120.0,0.048
G1,11.0,100.0,0.118
G2,13.0,120.0,0.06
G3,11.0,140.0,0.024
G4,15.0,100.0,0.096
H1,11.0,120.0,0.072
H2,13.0,100.0,0.108
H3,13.0,100.0,0.108
H4,13.0,140.0,0.012
I1,11.0,140.0,0.024
I2,11.0,140.0,0.024
I3,13.0,120.0,0.06
I4,13.0,120.0,0.06
J1,13.0,100.0,0.108
J2,11.0,120.0,0.072
J3,13.0,140.0,0.012
J4,13.0,100.0,0.108
K1,13.0,120.0,0.06
K2,11.0,100.0,0.118
K3,15.0,100.0,0.096
K4,11.0,140.0,0.024
L1,13.0,140.0,0.012
L2,9.0,140.0,0.034
L3,15.0,120.0,0.048
L4,11.0,120.0,0.072
M1,15.0,100.0,0.096
M2,9.0,120.0,0.082
M3,15.0,140.0,0.002
M4,11.0,100.0,0.118
N1,15.0,120.0,0.048
N2,9.0,100.0,0.13
N3,7.0,100.0,0.142
N4,9.0,140.0,0.034
O1,15.0,140.0,0.002
O2,7.0,140.0,0.046
O3,7.0,120.0,0.094
O4,9.0,120.0,0.082
P1,7.0,100.0,0.142
P2,7.0,120.0,0.094
P3,7.0,140.0,0.046
P4,9.0,100.0,0.13
