Well,Experiment,Name,Completed,Mg Vol (droplets),K Vol (droplets),Water Vol (droplets)
A1,Mg_K_screen-20251105_090558,R1,True,4,17,71
A2,Mg_K_screen-20251105_090558,R32,True,4,34,47
A3,Mg_K_screen-20251105_090558,R33,True,4,51,23
B1,Mg_K_screen-20251105_090558,R2,True,4,34,47
B2,Mg_K_screen-20251105_090558,R31,True,4,17,71
B3,Mg_K_screen-20251105_090558,R34,True,8,17,65
C1,Mg_K_screen-20251105_090558,R3,True,4,51,23
C2,Mg_K_screen-20251105_090558,R30,True,20,51,1
C3,Mg_K_screen-20251105_090558,R35,True,8,34,41
D1,Mg_K_screen-20251105_090558,R4,True,8,17,65
D2,Mg_K_screen-20251105_090558,R29,True,20,34,24
D3,Mg_K_screen-20251105_090558,R36,True,8,51,17
E1,Mg_K_screen-20251105_090558,R5,True,8,34,41
E2,Mg_K_screen-20251105_090558,R28,True,20,17,48
E3,Mg_K_screen-20251105_090558,R37,True,12,17,59
E4,Mg_K_screen-20251105_090558,R60,True,20,51,1
F1,Mg_K_screen-20251105_090558,R6,True,8,51,17
F2,Mg_K_screen-20251105_090558,R27,True,16,51,6
F3,Mg_K_screen-20251105_090558,R38,True,12,34,36
F4,Mg_K_screen-20251105_090558,R59,True,20,34,24
G1,Mg_K_screen-20251105_090558,R7,True,12,17,59
G2,Mg_K_screen-20251105_090558,R26,True,16,34,30
G3,Mg_K_screen-20251105_090558,R39,True,12,51,12
G4,Mg_K_screen-20251105_090558,R58,True,20,17,48
H1,Mg_K_screen-20251105_090558,R8,True,12,34,36
H2,Mg_K_screen-20251105_090558,R25,True,16,17,54
H3,Mg_K_screen-20251105_090558,R40,True,16,17,54
H4,Mg_K_screen-20251105_090558,R57,True,16,51,6
I1,Mg_K_screen-20251105_090558,R9,True,12,51,12
I2,Mg_K_screen-20251105_090558,R24,True,12,51,12
I3,Mg_K_screen-20251105_090558,R41,True,16,34,30
I4,Mg_K_screen-20251105_090558,R56,True,16,34,30
J1,Mg_K_screen-20251105_090558,R10,True,16,17,54
J2,Mg_K_screen-20251105_090558,R23,True,12,34,36
J3,Mg_K_screen-20251105_090558,R42,True,16,51,6
J4,Mg_K_screen-20251105_090558,R55,True,16,17,54
K1,Mg_K_screen-20251105_090558,R11,True,16,34,30
K2,Mg_K_screen-20251105_090558,R22,True,12,17,59
K3,Mg_K_screen-20251105_090558,R43,True,20,17,48
K4,Mg_K_screen-20251105_090558,R54,True,12,51,12
L1,Mg_K_screen-20251105_090558,R12,True,16,51,6
L2,Mg_K_screen-20251105_090558,R21,True,8,51,17
L3,Mg_K_screen-20251105_090558,R44,True,20,34,24
L4,Mg_K_screen-20251105_090558,R53,True,12,34,36
M1,Mg_K_screen-20251105_090558,R13,True,20,17,48
M2,Mg_K_screen-20251105_090558,R20,True,8,34,41
M3,Mg_K_screen-20251105_090558,R45,True,20,51,1
M4,Mg_K_screen-20251105_090558,R52,True,12,17,59
N1,Mg_K_screen-20251105_090558,R14,True,20,34,24
N2,Mg_K_screen-20251105_090558,R19,True,8,17,65
N3,Mg_K_screen-20251105_090558,R46,True,4,17,71
N4,Mg_K_screen-20251105_090558,R51,True,8,51,17
O1,Mg_K_screen-20251105_090558,R15,True,20,51,1
O2,Mg_K_screen-20251105_090558,R18,True,4,51,23
O3,Mg_K_screen-20251105_090558,R47,True,4,34,47
O4,Mg_K_screen-20251105_090558,R50,True,8,34,41
P1,Mg_K_screen-20251105_090558,R16,False,4,17,0
P2,Mg_K_screen-20251105_090558,R17,True,4,34,47
P3,Mg_K_screen-20251105_090558,R48,True,4,51,23
P4,Mg_K_screen-20251105_090558,R49,True,8,17,65
