Well ID,Mg_mM,Ribo_uM,T7poly_ng/ul,Water_--
A1,,,,0.2002
A2,,0.4008,6.6915,0.099
A3,,0.6903,6.6915,0.0396
A4,1.9744,,,0.1892
A5,1.9744,0.4008,,0.11
A6,1.9744,0.6903,6.6915,0.0308
A7,1.9744,,13.383,0.1496
B1,,0.4008,,0.121
B2,,,6.6915,0.1804
B3,,,13.383,0.1606
B4,,0.6903,13.383,0.0198
B5,1.9744,0.6903,,0.0506
B6,1.9744,0.4008,6.6915,0.0902
B7,1.9744,0.4008,13.383,0.0704
C1,,0.6903,,0.0594
C2,,0.6903,,0.0594
C3,,0.4008,13.383,0.0792
C4,,0.4008,13.383,0.0792
C5,1.9744,,6.6915,0.1694
C6,1.9744,,6.6915,0.1694
C7,1.9744,0.6903,13.383,0.011
D1,,,6.6915,0.1804
D2,,0.4008,,0.121
D3,,0.6903,13.383,0.0198
D4,,,13.383,0.1606
D5,1.9744,0.4008,6.6915,0.0902
D6,1.9744,0.6903,,0.0506
D7,3.9488,,,0.1804
E1,,0.4008,6.6915,0.099
E2,,,,0.2002
E3,1.9744,,,0.1892
E4,,0.6903,6.6915,0.0396
E5,1.9744,0.6903,6.6915,0.0308
E6,1.9744,0.4008,,0.11
E7,3.9488,0.4008,,0.099
F1,,0.6903,6.6915,0.0396
F3,1.9744,0.4008,,0.11
F4,,0.4008,6.6915,0.099
F5,1.9744,,13.383,0.1496
F6,1.9744,,,0.1892
F7,3.9488,0.6903,,0.0396
G1,,,13.383,0.1606
G2,3.9488,0.4008,13.383,0.0594
G3,1.9744,0.6903,,0.0506
G4,,,6.6915,0.1804
G5,1.9744,0.4008,13.383,0.0704
G6,,0.6903,13.383,0.0198
G7,3.9488,,6.6915,0.1606
H1,,0.4008,13.383,0.0792
H2,3.9488,,13.383,0.1408
H3,1.9744,,6.6915,0.1694
H4,,0.6903,,0.0594
H5,1.9744,0.6903,13.383,0.011
H6,,0.4008,13.383,0.0792
H7,3.9488,0.4008,6.6915,0.0792
I1,,0.6903,13.383,0.0198
I2,3.9488,0.6903,6.6915,0.0198
I3,1.9744,0.4008,6.6915,0.0902
I4,,0.4008,,0.121
I5,3.9488,,,0.1804
I6,,,13.383,0.1606
I7,3.9488,0.6903,6.6915,0.0198
J1,1.9744,,,0.1892
J2,3.9488,0.4008,6.6915,0.0792
J3,1.9744,0.6903,6.6915,0.0308
J4,,,,0.2002
J5,3.9488,0.4008,,0.099
J6,,0.6903,6.6915,0.0396
J7,3.9488,,13.383,0.1408
K1,1.9744,0.4008,,0.11
K2,3.9488,,6.6915,0.1606
K3,1.9744,,13.383,0.1496
K5,3.9488,0.6903,,0.0396
K6,,0.4008,6.6915,0.099
K7,3.9488,0.4008,13.383,0.0594
L1,1.9744,0.6903,,0.0506
L2,3.9488,0.6903,,0.0396
L3,1.9744,0.4008,13.383,0.0704
L4,3.9488,0.4008,13.383,0.0594
L5,3.9488,,6.6915,0.1606
L6,,,6.6915,0.1804
M1,1.9744,,6.6915,0.1694
M2,3.9488,0.4008,,0.099
M3,1.9744,0.6903,13.383,0.011
M4,3.9488,,13.383,0.1408
M5,3.9488,0.4008,6.6915,0.0792
M6,,0.6903,,0.0594
N1,1.9744,0.4008,6.6915,0.0902
N2,3.9488,,,0.1804
N3,3.9488,,,0.1804
N4,3.9488,0.6903,6.6915,0.0198
N5,3.9488,0.6903,6.6915,0.0198
N6,,0.4008,,0.121
O1,1.9744,0.6903,6.6915,0.0308
O2,1.9744,0.6903,13.383,0.011
O3,3.9488,0.4008,,0.099
O4,3.9488,0.4008,6.6915,0.0792
O5,3.9488,,13.383,0.1408
O6,,,,0.2002
P1,1.9744,,13.383,0.1496
P2,1.9744,0.4008,13.383,0.0704
P3,3.9488,0.6903,,0.0396
P4,3.9488,,6.6915,0.1606
P5,3.9488,0.4008,13.383,0.0594
F2,3.9488,0.6903,13.383,
K4,3.9488,0.6903,13.383,
L7,3.9488,0.6903,13.383,
P6,3.9488,0.6903,13.383,
