Well ID,[Creatine phosphate]_mM,[DNA]_nM,[Magnesium acetate]_mM,[PMix]_mg/mL,[Potassium glutamate]_mM,Water_--
G8,,2.024,10.0,1.836,40.0,0.249
G12,20.0,3.956,12.5,1.836,80.0,0.191
G14,,8.004,2.5,1.53,2.5,0.219
G15,20.0,3.956,12.5,1.836,80.0,0.191
G16,,2.024,10.0,1.836,40.0,0.249
H8,20.0,3.956,12.5,1.836,80.0,0.191
H9,,3.956,2.5,1.8,80.0,0.217
H10,,3.956,2.5,1.8,80.0,0.217
H13,,2.024,2.5,1.944,80.0,0.23
H14,,8.004,2.5,1.53,2.5,0.219
H16,20.0,2.024,17.5,1.8,40.0,0.228
I8,,2.024,2.5,1.944,80.0,0.23
I9,,2.024,2.5,1.944,80.0,0.23
I10,20.0,2.024,17.5,1.8,40.0,0.228
I11,20.0,2.024,17.5,1.944,40.0,0.22
I13,20.0,2.024,17.5,1.8,40.0,0.228
I14,,3.956,2.5,1.8,80.0,0.217
I16,,8.004,2.5,1.53,2.5,0.219
J8,20.0,2.024,17.5,1.944,40.0,0.22
J13,,2.024,10.0,1.836,40.0,0.249
J15,20.0,2.024,17.5,1.944,40.0,0.22
G9,71.0,,22.5,2.034,62.5,0.175
G10,100.0,,22.5,1.764,,0.186
G11,49.0,,10.0,1.548,12.5,0.249
G13,100.0,,15.0,1.836,115.0,0.139
H11,49.0,,10.0,1.548,12.5,0.249
H12,49.0,,10.0,1.548,12.5,0.249
H15,71.0,,22.5,2.034,62.5,0.175
I12,100.0,,15.0,1.836,115.0,0.139
I15,67.0,,,1.98,140.0,0.16
J9,71.0,,22.5,2.034,62.5,0.175
J10,67.0,,,1.98,140.0,0.16
J11,100.0,,22.5,1.764,,0.186
J12,100.0,,15.0,1.836,115.0,0.139
J14,67.0,,,1.98,140.0,0.16
J16,100.0,,22.5,1.764,,0.186
