well_id,Name,[DNA] (nM),[RNAse Inhib] (U/mL),[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),hepes mM,ppk uM,polyphosphate mM,atp mM,gtp mM,ctp mM,utp mM,tcep mM,folinic_acid mM,spermidine mM,aas mM,trna ug/ul,[DNA] (nM) conc_to_add,[DNA] (nM) vol_to_pipette_ul,[PMix] (mg/mL) conc_to_add,[PMix] (mg/mL) vol_to_pipette_ul,[Magnesium acetate] (mM) conc_to_add,[Magnesium acetate] (mM) vol_to_pipette_ul,[Creatine phosphate] (mM) conc_to_add,[Creatine phosphate] (mM) vol_to_pipette_ul,[Potassium glutamate] (mM) conc_to_add,[Potassium glutamate] (mM) vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul,Type,Well
J16,1,2.996187423,2000.000003,1.799999952,1.799999951,9.999999959,11.692320708312838,100.0,60.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.8,1.2,17.531,0.175,20.0,0.2,40.0,0.16,6.069,1.952,1.979,10.0,Sample,J16
H9,1,2.996187423,2000.000003,1.799999952,1.799999951,9.999999959,2.3268509591736346,0.0,140.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.8,1.2,17.531,0.175,20.0,0.2,40.0,0.16,6.069,1.952,1.979,10.0,Sample,H9
J10,1,2.996187423,2000.000003,1.799999952,1.799999951,9.999999959,1.1561672405312347,67.0,200.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.8,1.2,17.531,0.175,20.0,0.2,40.0,0.16,6.069,1.952,1.979,10.0,Sample,J10
G16,2,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,5.8389021151008365,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,17.531,0.175,20.0,0.2,40.0,0.16,6.069,2.052,1.879,10.0,Sample,G16
I14,2,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,2.3268509591736346,0.0,140.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,17.531,0.175,20.0,0.2,40.0,0.16,6.069,2.052,1.879,10.0,Sample,I14
G11,2,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,5.8389021151008365,49.0,72.5,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,17.531,0.175,20.0,0.2,40.0,0.16,6.069,2.052,1.879,10.0,Sample,G11
G12,3,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,7.009585833743237,20.0,140.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.872,2.059,10.0,Sample,G12
G10,3,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,11.692320708312838,100.0,60.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.872,2.059,10.0,Sample,G10
I15,3,2.996187423,2000.000003,1.950000051,1.799999951,9.999999959,1.1561672405312347,67.0,200.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.95,1.3,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.872,2.059,10.0,Sample,I15
I12,4,5.000000045,2000.000003,1.799999952,1.799999951,9.999999959,8.180269552385639,100.0,175.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,4.0,0.435,1.8,1.2,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.99,1.941,10.0,Sample,I12
I10,4,5.000000045,2000.000003,1.799999952,1.799999951,9.999999959,9.350953271028038,20.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,4.0,0.435,1.8,1.2,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.99,1.941,10.0,Sample,I10
I11,4,5.000000045,2000.000003,1.799999952,1.799999951,9.999999959,9.350953271028038,20.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,4.0,0.435,1.8,1.2,3.531,0.035,0.0,0.0,80.0,0.32,6.069,1.99,1.941,10.0,Sample,I11
G8,5,2.996187423,2000.000003,1.833326026,1.799999951,9.999999959,5.8389021151008365,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.833,1.222,10.74,0.107,0.0,0.0,40.0,0.16,6.069,1.706,2.225,10.0,Sample,G8
J9,5,2.996187423,2000.000003,1.833326026,1.799999951,9.999999959,11.692320708312838,71.0,122.5,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.833,1.222,10.74,0.107,0.0,0.0,40.0,0.16,6.069,1.706,2.225,10.0,Sample,J9
I8,5,2.996187423,2000.000003,1.833326026,1.799999951,9.999999959,2.3268509591736346,0.0,140.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,1.996,0.217,1.833,1.222,10.74,0.107,0.0,0.0,40.0,0.16,6.069,1.706,2.225,10.0,Sample,I8
H8,6,5.000000045,2000.000003,1.828292141,1.799999951,9.999999959,7.009585833743237,20.0,140.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,4.0,0.435,1.828,1.219,11.866,0.119,20.0,0.2,80.0,0.32,6.069,2.293,1.638,10.0,Sample,H8
