Well ID,[Amino Acids]_mM,[ATP]_mM,[Creatine phosphate]_mM,[GTP]_mM,[Magnesium acetate]_mM,[Potassium glutamate]_mM,[tRNA]_ug/uL,Water_--
F9,0.3885,1.7,22.0,2.9,8.0,97.5,3.535,0.132
F10,0.3115,2.9,34.0,1.9,21.0,97.5,2.905,0.145
F11,0.322,2.6,60.0,2.6,10.0,40.0,3.99,0.115
F12,0.3605,2.3,60.0,2.1,25.0,97.5,3.5,0.088
F13,0.399,2.6,,2.5,8.0,107.5,3.255,0.15
F14,0.3045,1.9,24.0,2.3,4.0,82.5,3.955,0.156
F15,0.399,2.6,,1.8,4.0,57.5,2.135,0.213
G9,0.2905,3.0,60.0,1.4,1.0,40.0,2.345,0.188
G10,0.1925,2.5,,2.6,22.0,180.0,2.87,0.177
G11,0.399,2.0,60.0,3.1,12.0,40.0,3.22,0.114
G12,0.259,2.6,60.0,3.0,6.0,55.0,3.99,0.127
G13,0.399,1.9,30.0,1.9,6.0,65.0,2.135,0.184
G14,0.3115,2.4,,2.2,9.0,160.0,1.925,0.196
G15,0.287,2.7,31.0,3.3,5.0,40.0,3.885,0.154
H9,0.252,3.6,60.0,2.0,22.0,67.5,3.325,0.127
H10,0.3465,2.8,3.0,1.7,2.0,75.0,2.555,0.207
H11,0.2275,2.4,8.0,2.7,6.0,95.0,3.78,0.183
H12,0.399,2.7,60.0,2.6,25.0,180.0,1.995,0.078
H13,0.2765,3.7,60.0,2.9,24.0,85.0,2.24,0.132
H14,0.3465,2.1,,2.2,4.0,112.5,3.29,0.174
H15,0.3535,1.9,20.0,2.0,8.0,100.0,1.365,0.212
I9,0.259,2.4,44.0,2.7,1.0,40.0,2.625,0.198
I10,0.399,2.2,60.0,2.3,22.0,42.5,3.185,0.11
I11,0.399,2.6,60.0,2.5,8.0,42.5,2.415,0.14
I12,0.399,2.2,60.0,2.7,25.0,40.0,2.73,0.117
I13,0.3045,3.0,20.0,1.9,8.0,100.0,2.52,0.183
I14,0.3815,3.5,53.0,2.7,15.0,100.0,2.8,0.1
I15,0.1505,3.2,60.0,2.3,23.0,77.5,3.85,0.137
J9,0.3885,2.8,13.0,2.1,8.0,102.5,3.99,0.123
J10,0.308,2.7,4.0,1.9,12.0,112.5,1.855,0.211
J11,0.399,2.2,33.0,1.5,8.0,112.5,3.36,0.126
J12,0.399,1.9,22.0,2.3,8.0,97.5,3.15,0.144
J13,0.3605,2.9,42.0,1.7,2.0,77.5,2.345,0.168
J14,0.3395,3.5,,2.1,7.0,125.0,2.94,0.165
J15,0.2975,2.9,45.0,2.0,7.0,77.5,1.855,0.189
