,Name,[DNA] (nM),[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino Acids] (mM),[tRNA] (ug/uL),hepes mM,ppk uM,polyphosphate mM,ctp mM,utp mM,tcep mM,folinic_acid mM,spermidine mM,rnas_inh U/ml,[Magnesium acetate] (mM) conc_to_add,[Magnesium acetate] (mM) vol_to_pipette_ul,[Creatine phosphate] (mM) conc_to_add,[Creatine phosphate] (mM) vol_to_pipette_ul,[Potassium glutamate] (mM) conc_to_add,[Potassium glutamate] (mM) vol_to_pipette_ul,[ATP] (mM) conc_to_add,[ATP] (mM) vol_to_pipette_ul,[GTP] (mM) conc_to_add,[GTP] (mM) vol_to_pipette_ul,[Amino Acids] (mM) conc_to_add,[Amino Acids] (mM) vol_to_pipette_ul,[tRNA] (ug/uL) conc_to_add,[tRNA] (ug/uL) vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul,Type,Well
J12,1,5.0,1.8,1.8,8.0,22.0,97.5,1.9,2.3,0.399,3.15,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.6,0.03,21.8,0.218,98.4,0.394,1.947,0.195,2.263,0.226,0.4,1.231,3.14,0.897,5.407,3.191,1.402,10.0,Sample,J12
G9,2,5.0,1.8,1.8,1.0,60.0,40.0,3.0,1.4,0.2905,2.345,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,1.0,0.004,60.0,0.6,40.0,0.16,3.042,0.304,1.403,0.14,0.289,0.889,2.338,0.668,5.407,2.765,1.828,10.0,Sample,G9
J15,3,5.0,1.8,1.8,7.0,45.0,77.5,2.9,2.0,0.2975,1.855,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.7,0.027,44.7,0.447,76.9,0.308,2.876,0.288,2.036,0.204,0.299,0.92,1.84,0.526,5.407,2.72,1.873,10.0,Sample,J15
I11,4,5.0,1.8,1.8,8.0,60.0,42.5,2.6,2.5,0.399,2.415,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,60.0,0.6,41.5,0.166,2.633,0.263,2.516,0.252,0.4,1.231,2.426,0.693,5.407,3.236,1.357,10.0,Sample,I11
I9,5,5.0,1.8,1.8,1.0,44.0,40.0,2.4,2.7,0.259,2.625,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,1.0,0.004,43.8,0.438,40.0,0.16,2.399,0.24,2.721,0.272,0.26,0.8,2.623,0.749,5.407,2.663,1.93,10.0,Sample,I9
J9,6,5.0,1.8,1.8,8.0,13.0,102.5,2.8,2.1,0.3885,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,8.4,0.034,13.4,0.134,102.7,0.411,2.841,0.284,2.126,0.213,0.388,1.194,4.0,1.143,5.407,3.413,1.18,10.0,Sample,J9
H13,7,5.0,1.8,1.8,24.0,60.0,85.0,3.7,2.9,0.2765,2.24,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,24.3,0.097,60.0,0.6,86.2,0.345,3.705,0.37,2.861,0.286,0.276,0.849,2.237,0.639,5.407,3.186,1.407,10.0,Sample,H13
G12,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample,G12
H11,9,5.0,1.8,1.8,6.0,8.0,95.0,2.4,2.7,0.2275,3.78,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.4,0.026,7.9,0.079,95.8,0.383,2.42,0.242,2.685,0.268,0.227,0.698,3.783,1.081,5.407,2.777,1.816,10.0,Sample,H11
I14,10,5.0,1.8,1.8,15.0,53.0,100.0,3.5,2.7,0.3815,2.8,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,14.8,0.059,52.9,0.529,99.8,0.399,3.525,0.352,2.738,0.274,0.382,1.175,2.81,0.803,5.407,3.591,1.002,10.0,Sample,I14
