reagent,unit,stock_conc,base_conc,vol_per_rxn_ul,vol_to_pipette_smix,base_conc_fold,vol_to_pipette_ul,below_min_pipetting_vol,base_master_mix_fold,base_master_mix_vol_to_add_ul,effective_pipetting_scalar,total_master_mix_volume_ul
hepes,mM,1500,50,0.333,0,78,42.917,FALSE,1.55022,6.451,1.25,830.527
potassium_glutamate,mM,2500,100,0.4,0,156,51.5,FALSE,1.55022,6.451,1.25,830.527
magnesium_acetate,mM,2000,8,0.04,0,12.48,5.15,FALSE,1.55022,6.451,1.25,830.527
atp,mM,100,2,0.2,0,3.12,25.75,FALSE,1.55022,6.451,1.25,830.527
gtp,mM,100,2,0.2,0,3.12,25.75,FALSE,1.55022,6.451,1.25,830.527
ctp,mM,50,1,0.2,0,1.56,25.75,FALSE,1.55022,6.451,1.25,830.527
utp,mM,50,1,0.2,0,1.56,25.75,FALSE,1.55022,6.451,1.25,830.527
creatine_phosphate,mM,1000,20,0.2,0,31.2,25.75,FALSE,1.55022,6.451,1.25,830.527
tcep,mM,50,1,0.2,0,1.56,25.75,FALSE,1.55022,6.451,1.25,830.527
folinic_acid,mM,5,0.02,0.04,0,0.0312,5.15,FALSE,1.55022,6.451,1.25,830.527
spermidine,mM,200,2,0.1,0,3.12,12.875,FALSE,1.55022,6.451,1.25,830.527
aas,mM,3.25,0.3,0.923,0,0.468,118.846,FALSE,1.55022,6.451,1.25,830.527
smix,x,3.33,1,3.003003003,386.62,1.56,0,,1.55022,,,
trna,ug/ul,35,2.5,0.714,91.92,3.9,91.964,FALSE,1.55022,6.451,1.25,830.527
rnas_inh,U/ml,40000,2000,0.5,64.37,3120,64.375,FALSE,1.55022,6.451,1.25,830.527
ribosome,uM,18,1.8,1,128.74,2.808,128.75,FALSE,1.55022,6.451,1.25,830.527
pmix,mg/ml,15,1.8,1.2,154.49,2.808,154.5,FALSE,1.55022,6.451,1.25,830.527
,,,,Total,826.15,,,,,,,
,,,,base_mm_fold,1.56,,,,,,,
,,,,vol_to_add,6.417003003,,,,,Total Rxns ,128.7439157,
,,,,dead_vol ,3.582996997,,,,,,,
