Well ID,actual_final_volume_nL,[ATP]_mM,[Creatine phosphate]_mM,[DNA]_nM,[GTP]_mM,[Magnesium acetate]_mM,[PolyP]_mM,[PPK]_uM,[tRNA]_ug/ul,Water_--
E6,8927.9909,2.1282,25.3114,2.2695,1.8452,22.4606,31.9583,3.0636,1.4146,0.0073
E7,9623.3071,0.8556,16.2571,2.1055,3.8345,47.5606,13.9526,0.4737,1.9533,0.1134
E8,8985.9456,0.4934,17.4102,2.2549,3.5932,8.3699,33.6199,2.0292,1.8304,0.0202
E9,10713.2996,,12.1693,1.8913,,15.859,,,0.1645,0.3371
E10,9954.2793,,,2.0355,,,16.8608,1.3738,0.8557,0.2389
E11,9509.2255,2.8639,5.4841,2.1308,2.2175,41.7848,1.765,4.0748,0.9266,0.1093
E12,9409.599,2.1539,19.3974,2.1533,2.7311,27.3298,17.8368,1.4534,1.2798,0.098
E13,8927.9909,2.1282,25.3114,2.2695,1.8452,22.4606,31.9583,3.0636,1.4146,0.0073
E14,9203.6357,,56.6614,2.2015,0.716,87.5554,31.0011,3.4671,0.9893,
E15,10625.9557,,,1.9068,,,,,0.8016,0.3411
E16,9359.2594,1.0827,36.2175,2.1649,0.6337,21.0287,30.4857,1.2177,1.1611,0.0986
E17,10729.8974,0.4132,8.1003,1.8884,0.6141,96.298,,,0.7117,0.2833
E18,9238.1586,2.7423,56.4497,2.1933,,,32.7021,,1.3671,0.0802
F6,9253.556,1.0951,38.5098,2.1897,,1.606,32.6477,2.7095,0.0952,0.0983
F7,9446.2292,,55.2063,2.145,2.7903,,31.9817,,,0.1375
F8,9693.9463,,14.3455,2.0902,0.4078,6.6087,31.1645,0.7054,0.4242,0.189
F9,9671.8639,,43.1347,2.095,1.3626,106.8323,31.2356,,1.3058,0.0913
F10,9397.7234,0.6065,20.3468,2.1561,1.1219,48.7023,32.1468,2.6679,,0.1023
F11,9652.5001,1.5747,2.7013,2.0992,2.9355,51.3595,15.6492,0.9445,1.491,0.1346
F12,10180.2511,0.2489,11.9527,1.9903,0.9062,14.8646,8.2433,0.2239,1.1252,0.2514
F13,9409.599,2.1539,19.3974,2.1533,2.7311,27.3298,17.8368,1.4534,1.2798,0.098
F14,9645.3383,3.2175,5.4067,2.1007,1.1614,2.6964,12.1806,1.1815,1.0962,0.163
F15,9219.1576,,36.7679,2.1978,,,21.8463,4.4502,1.0832,0.0775
F16,9565.2913,,22.7163,2.1183,,20.9642,31.5837,0.9531,1.2282,0.144
F17,10702.3314,,,1.8932,,53.0018,,,1.1801,0.2999
F18,9587.3135,1.3212,22.6641,2.1134,0.2749,53.6464,21.0074,1.6642,1.5624,0.1057
G6,10625.9557,,,1.9068,,,,,0.8016,0.3411
G7,9661.6447,,27.8873,2.0972,0.2728,63.8035,31.2687,1.4155,0.4256,0.1291
G8,9411.0725,1.1441,8.3119,2.153,1.6804,1.974,10.7004,3.6329,1.4668,0.1104
G9,9303.7729,2.3145,0.9342,2.1778,3.7538,28.4393,7.2159,3.4298,1.6732,0.0684
G10,9696.402,,36.751,2.0896,0.2718,73.3403,31.1566,0.2351,1.3025,0.1152
G11,9359.2594,1.0827,36.2175,2.1649,0.6337,21.0287,30.4857,1.2177,1.1611,0.0986
G12,9565.2913,,22.7163,2.1183,,20.9642,31.5837,0.9531,1.2282,0.144
G13,10561.5464,,,1.9185,,,,,1.1958,0.326
G14,9450.8727,,20.2324,2.1439,,42.0428,31.966,2.6529,0.6216,0.1141
G15,9798.6813,2.5208,26.6103,2.0678,0.4707,12.3179,3.4257,1.6283,1.3489,0.1657
G16,9796.6677,1.5516,20.4054,2.0683,2.7578,10.4241,1.7132,0.698,2.0087,0.1671
G17,9203.6357,,56.6614,2.2015,0.716,87.5554,31.0011,3.4671,0.9893,
G18,9309.3458,0.1361,7.4691,2.1765,4.0346,23.5361,18.0289,2.4484,1.8615,0.0726
H6,9411.0725,1.1441,8.3119,2.153,1.6804,1.974,10.7004,3.6329,1.4668,0.1104
H7,9254.3558,0.0684,27.2363,2.1895,0.6408,,30.8312,2.9555,0.73,0.1011
H8,9309.3458,0.1361,7.4691,2.1765,4.0346,23.5361,18.0289,2.4484,1.8615,0.0726
H9,9573.5285,2.6462,,2.1165,1.7896,107.9296,31.5565,,1.3192,0.095
H10,9623.3071,0.8556,16.2571,2.1055,3.8345,47.5606,13.9526,0.4737,1.9533,0.1134
H11,9796.6677,1.5516,20.4054,2.0683,2.7578,10.4241,1.7132,0.698,2.0087,0.1671
H12,9085.6612,2.5095,12.4361,2.2301,0.1451,48.7393,24.0146,4.0138,2.0043,0.0172
H13,8924.6305,3.6902,10.7127,2.2704,2.658,0.4163,22.5673,2.8093,1.8759,0.0189
H14,8924.6305,3.6902,10.7127,2.2704,2.658,0.4163,22.5673,2.8093,1.8759,0.0189
H15,9924.6439,1.0849,6.1303,2.0416,0.2656,,25.3667,,,0.2487
H16,9435.7624,3.0876,13.8169,2.1474,1.3967,32.4685,28.4598,0.2416,1.0272,0.1143
H17,9844.6368,0.386,7.063,2.0582,,,30.6875,,0.2685,0.2336
H18,8952.2232,1.7687,33.9808,2.2634,,23.6449,28.1221,4.5829,1.4108,
I6,9587.3135,1.3212,22.6641,2.1134,0.2749,53.6464,21.0074,1.6642,1.5624,0.1057
I7,9652.5001,1.5747,2.7013,2.0992,2.9355,51.3595,15.6492,0.9445,1.491,0.1346
I8,9844.6368,0.386,7.063,2.0582,,,30.6875,,0.2685,0.2336
I9,9661.6447,,27.8873,2.0972,0.2728,63.8035,31.2687,1.4155,0.4256,0.1291
I10,10729.8974,0.4132,8.1003,1.8884,0.6141,96.298,,,0.7117,0.2833
I11,9693.9463,,14.3455,2.0902,0.4078,6.6087,31.1645,0.7054,0.4242,0.189
I12,9397.7234,0.6065,20.3468,2.1561,1.1219,48.7023,32.1468,2.6679,,0.1023
I13,9085.6612,2.5095,12.4361,2.2301,0.1451,48.7393,24.0146,4.0138,2.0043,0.0172
I14,9573.5285,2.6462,,2.1165,1.7896,107.9296,31.5565,,1.3192,0.095
I15,9450.8727,,20.2324,2.1439,,42.0428,31.966,2.6529,0.6216,0.1141
I16,8985.9456,0.4934,17.4102,2.2549,3.5932,8.3699,33.6199,2.0292,1.8304,0.0202
I17,9007.2373,0.8438,27.0186,2.2495,3.4384,35.2507,24.2237,4.0488,1.0435,0.0043
I18,9631.7964,0.6576,20.7547,2.1037,,27.8565,31.3656,0.4733,1.0368,0.1484
J6,9435.7624,3.0876,13.8169,2.1474,1.3967,32.4685,28.4598,0.2416,1.0272,0.1143
J7,9954.2793,,,2.0355,,,16.8608,1.3738,0.8557,0.2389
J8,9446.2292,,55.2063,2.145,2.7903,,31.9817,,,0.1375
J9,9798.6813,2.5208,26.6103,2.0678,0.4707,12.3179,3.4257,1.6283,1.3489,0.1657
J10,10042.5795,,35.4842,2.0176,,45.575,11.6988,2.0427,,0.2044
J11,9671.8639,,43.1347,2.095,1.3626,106.8323,31.2356,,1.3058,0.0913
J13,9238.1586,2.7423,56.4497,2.1933,,,32.7021,,1.3671,0.0802
J14,8952.2232,1.7687,33.9808,2.2634,,23.6449,28.1221,4.5829,1.4108,
J15,9219.1576,,36.7679,2.1978,,,21.8463,4.4502,1.0832,0.0775
J16,10056.4272,,51.8565,2.0148,,,5.0069,0.6799,1.2559,0.2183
J17,10180.2511,0.2489,11.9527,1.9903,0.9062,14.8646,8.2433,0.2239,1.1252,0.2514
J18,9696.402,,36.751,2.0896,0.2718,73.3403,31.1566,0.2351,1.3025,0.1152
K6,9645.3383,3.2175,5.4067,2.1007,1.1614,2.6964,12.1806,1.1815,1.0962,0.163
K7,9372.6538,4.0544,19.4739,2.1618,0.6327,43.5829,5.3721,3.1614,2.1309,0.0582
K8,10561.5464,,,1.9185,,,,,1.1958,0.326
K9,9631.7964,0.6576,20.7547,2.1037,,27.8565,31.3656,0.4733,1.0368,0.1484
K10,9863.2393,,22.0301,2.0543,2.6723,64.8511,,4.1596,,0.1607
K11,9548.1389,,51.8862,2.1221,,62.2272,31.6404,0.9549,1.0459,0.098
K12,9259.2676,0.0684,48.8115,2.1883,,100.9649,32.6275,3.2001,1.364,0.0098
