Well,Generator,Type,Name,[tRNA] ug/ul,[Magnesium acetate] mM,[Creatine phosphate] mM,[ATP] mM,[GTP] mM,[PPK] uM,[PolyP] mM,[HEPES] mM,[Potassium glutamate] mM,[CTP] mM,[UTP] mM,[TCEP] mM,[Folinic acid] mM,[Spermidine] mM,[aas] mM,[RNAse Inhibitor] U/ml,[Ribosome] uM,[Pmix] mg/ml,[DNA] nM,[tRNA] ug/ul conc_to_add,[tRNA] ug/ul vol_to_pipette_ul,[Magnesium acetate] mM conc_to_add,[Magnesium acetate] mM vol_to_pipette_ul,[Creatine phosphate] mM conc_to_add,[Creatine phosphate] mM vol_to_pipette_ul,[ATP] mM conc_to_add,[ATP] mM vol_to_pipette_ul,[GTP] mM conc_to_add,[GTP] mM vol_to_pipette_ul,[PPK] uM conc_to_add,[PPK] uM vol_to_pipette_ul,[PolyP] mM conc_to_add,[PolyP] mM vol_to_pipette_ul,[DNA] nM conc_to_add,[DNA] nM vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul
H13,lhs,Sample,0,4.681394300296242,9.393881760947975,33.15665440236994,5.934595440236993,4.902395440236994,2.8093,22.5673,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.2704,1.992,0.569,0.131,0.001,10.712,0.107,5.191,0.519,3.572,0.357,3.607,0.633,36.407,0.728,3.0,0.5,6.451,3.414,0.135,10.0
H14,lhs,Sample,0,4.681394300296242,9.393881760947975,33.15665440236994,5.934595440236993,4.902395440236994,2.8093,22.5673,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.2704,1.992,0.569,0.131,0.001,10.712,0.107,5.191,0.519,3.572,0.357,3.607,0.633,36.407,0.728,3.0,0.5,6.451,3.414,0.135,10.0
G18,lhs,Sample,1,4.551055263915538,32.142676844529724,28.985542111324303,2.28774421113243,6.186244211132431,2.4484,18.0289,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.1765,2.066,0.59,9.481,0.047,8.324,0.083,0.189,0.019,5.722,0.572,3.407,0.598,30.737,0.615,3.0,0.5,6.451,3.024,0.525,10.0
H8,lhs,Sample,1,4.551055263915538,32.142676844529724,28.985542111324303,2.28774421113243,6.186244211132431,2.4484,18.0289,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.1765,2.066,0.59,9.481,0.047,8.324,0.083,0.189,0.019,5.722,0.572,3.407,0.598,30.737,0.615,3.0,0.5,6.451,3.024,0.525,10.0
E6,lhs,Sample,2,4.219038342337468,31.434802695479895,47.74690673869974,4.3717506738699745,4.088750673869974,3.0636,31.9583,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.2695,1.492,0.426,8.244,0.041,26.168,0.262,2.981,0.298,2.452,0.245,4.011,0.704,50.165,1.003,3.0,0.5,6.451,3.479,0.07,10.0
E13,lhs,Sample,2,4.219038342337468,31.434802695479895,47.74690673869974,4.3717506738699745,4.088750673869974,3.0636,31.9583,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.2695,1.492,0.426,8.244,0.041,26.168,0.262,2.981,0.298,2.452,0.245,4.011,0.704,50.165,1.003,3.0,0.5,6.451,3.479,0.07,10.0
K6,lhs,Sample,3,3.6920654037049174,11.003169291855738,26.17362322963934,5.294192322963934,3.2380923229639342,1.1815,12.1806,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.1007,1.273,0.364,1.783,0.009,6.16,0.062,4.866,0.487,1.742,0.174,1.66,0.291,21.88,0.438,3.0,0.5,6.451,2.325,1.224,10.0
F14,lhs,Sample,3,3.6920654037049174,11.003169291855738,26.17362322963934,5.294192322963934,3.2380923229639342,1.1815,12.1806,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.1007,1.273,0.364,1.783,0.009,6.16,0.062,4.866,0.487,1.742,0.174,1.66,0.291,21.88,0.438,3.0,0.5,6.451,2.325,1.224,10.0
H11,lhs,Sample,4,4.564466998200827,18.602554394242645,40.85153598560662,3.596213598560662,4.802413598560662,0.698,1.7132,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.0683,2.338,0.668,4.357,0.022,22.883,0.229,2.41,0.241,4.102,0.41,1.089,0.191,4.0,0.08,3.0,0.5,6.451,2.341,1.208,10.0
G16,lhs,Sample,4,4.564466998200827,18.602554394242645,40.85153598560662,3.596213598560662,4.802413598560662,0.698,1.7132,50.0,100.0,1.0,1.0,1.0,0.02,2.0,0.3,2000.0,1.8,1.8,2.0683,2.338,0.668,4.357,0.022,22.883,0.229,2.41,0.241,4.102,0.41,1.089,0.191,4.0,0.08,3.0,0.5,6.451,2.341,1.208,10.0
