Well,Generator,Type,Name,[tRNA] ug/ul,[Magnesium acetate] mM,[Creatine phosphate] mM,[ATP] mM,[GTP] mM,[PPK] uM,[PolyP] mM,[HEPES] mM,[Potassium glutamate] mM,[CTP] mM,[UTP] mM,[TCEP] mM,[Folinic acid] mM,[Spermidine] mM,[aas] mM,[RNAse Inhibitor] U/ml,[Ribosome] uM,[Pmix] mg/ml,[DNA] nM,[tRNA] ug/ul conc_to_add,[tRNA] ug/ul vol_to_pipette_ul,[Magnesium acetate] mM conc_to_add,[Magnesium acetate] mM vol_to_pipette_ul,[Creatine phosphate] mM conc_to_add,[Creatine phosphate] mM vol_to_pipette_ul,[ATP] mM conc_to_add,[ATP] mM vol_to_pipette_ul,[GTP] mM conc_to_add,[GTP] mM vol_to_pipette_ul,[PPK] uM conc_to_add,[PPK] uM vol_to_pipette_ul,[PolyP] mM conc_to_add,[PolyP] mM vol_to_pipette_ul,[DNA] nM conc_to_add,[DNA] nM vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul
H13,lhs,Sample,0,4.491953296,8.131261755,30.71210312,7.190789591,5.571746796,3.607313295,36.40686582,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.992,0.569,0.131,0.001,10.712,0.107,5.191,0.519,3.572,0.357,3.607,0.633,36.407,0.728,3,0.5,6.451,3.414,0.135,10
H14,lhs,Sample,0,4.491953296,8.131261755,30.71210312,7.190789591,5.571746796,3.607313295,36.40686582,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.992,0.569,0.131,0.001,10.712,0.107,5.191,0.519,3.572,0.357,3.607,0.633,36.407,0.728,3,0.5,6.451,3.414,0.135,10
G18,lhs,Sample,1,4.566045177,17.48087216,28.32442109,2.188760593,7.721970503,3.406840464,30.73740556,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,2.066,0.59,9.481,0.047,8.324,0.083,0.189,0.019,5.722,0.572,3.407,0.598,30.737,0.615,3,0.5,6.451,3.024,0.525,10
H8,lhs,Sample,1,4.566045177,17.48087216,28.32442109,2.188760593,7.721970503,3.406840464,30.73740556,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,2.066,0.59,9.481,0.047,8.324,0.083,0.189,0.019,5.722,0.572,3.407,0.598,30.737,0.615,3,0.5,6.451,3.024,0.525,10
E6,lhs,Sample,2,3.991743935,16.24435644,46.16812282,4.980854823,4.451710648,4.01050068,50.16525871,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.492,0.426,8.244,0.041,26.168,0.262,2.981,0.298,2.452,0.245,4.011,0.704,50.165,1.003,3,0.5,6.451,3.479,0.07,10
E13,lhs,Sample,2,3.991743935,16.24435644,46.16812282,4.980854823,4.451710648,4.01050068,50.16525871,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.492,0.426,8.244,0.041,26.168,0.262,2.981,0.298,2.452,0.245,4.011,0.704,50.165,1.003,3,0.5,6.451,3.479,0.07,10
K6,lhs,Sample,3,3.773410552,9.782964723,26.16031832,6.866484951,3.741608388,1.659983699,21.87953964,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.273,0.364,1.783,0.009,6.16,0.062,4.866,0.487,1.742,0.174,1.66,0.291,21.88,0.438,3,0.5,6.451,2.325,1.224,10
F14,lhs,Sample,3,3.773410552,9.782964723,26.16031832,6.866484951,3.741608388,1.659983699,21.87953964,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,1.273,0.364,1.783,0.009,6.16,0.062,4.866,0.487,1.742,0.174,1.66,0.291,21.88,0.438,3,0.5,6.451,2.325,1.224,10
H11,lhs,Sample,4,4.838428288,12.35656993,42.88285677,4.40974708,6.102252393,1.088862088,4,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,2.338,0.668,4.357,0.022,22.883,0.229,2.41,0.241,4.102,0.41,1.089,0.191,4,0.08,3,0.5,6.451,2.341,1.208,10
G16,lhs,Sample,4,4.838428288,12.35656993,42.88285677,4.40974708,6.102252393,1.088862088,4,50,100,1,1,1,0.02,2,0.3,2000,1.8,1.8,3,2.338,0.668,4.357,0.022,22.883,0.229,2.41,0.241,4.102,0.41,1.089,0.191,4,0.08,3,0.5,6.451,2.341,1.208,10
